iter	Passed	Remaining
479	680	737
480	681	735
481	683	734
482	684	732
483	685	731
484	687	729
485	688	728
486	690	726
487	691	725
488	693	724
489	694	723
490	696	721
491	697	720
492	698	718
493	700	717
494	701	716
495	703	714
496	704	713
497	706	711
498	707	710
499	709	709
500	710	707
501	711	706
502	713	704
503	714	703
504	716	701
505	717	700
506	718	699
507	720	697
508	721	695
509	723	694
510	724	693
511	726	692
512	727	690
513	729	689
514	730	688
515	731	686
516	733	685
517	735	684
518	736	682
519	738	681
520	740	680
521	742	679
522	743	678
523	745	677
524	746	675
525	748	674
526	749	673
527	751	671
528	752	670
529	754	668
530	755	667
531	757	666
532	758	664
533	759	663
534	761	662
535	763	660
536	765	659
537	766	658
538	768	657
539	769	655
540	771	654
541	772	653
542	774	651
543	777	651
544	778	650
545	780	648
546	781	647
547	782	645
548	783	644
549	785	642
550	786	641
551	788	639
552	789	638
553	791	637
554	792	635
555	793	633
556	795	632
557	796	630
558	797	629
559	799	627
560	800	626
561	802	625
562	803	623
563	804	622
564	806	620
565	807	619
566	809	618
567	810	616
568	811	614
569	813	613
570	814	611
571	815	610
572	817	609
573	818	607
574	819	605
575	821	604
576	822	603
577	824	601
578	825	600
579	826	598
580	827	597
581	829	595
582	830	594
583	831	592
584	833	591
585	834	589
586	836	588
587	837	586
588	838	585
589	840	583
590	841	582
591	842	580
592	844	579
593	845	577
594	846	576
595	848	574
596	849	573
597	850	571
598	851	570
599	853	568
600	854	567
601	855	565
602	857	564
603	858	562
604	859	561
605	861	559
606	862	558
607	863	556
608	865	555
609	866	553
610	867	552
611	869	550
612	870	549
613	871	548
614	873	546
615	874	545
616	875	543
617	877	542
618	878	540
619	880	539
620	881	537
621	882	536
622	884	535
623	885	533
624	886	532
625	887	530
626	889	528
627	890	527
628	891	525
629	893	524
630	894	523
631	896	521
632	898	520
633	899	519
634	901	517
635	902	516
636	903	515
637	905	513
638	906	512
639	907	510
640	909	509
641	910	507
642	912	506
643	913	504
644	914	503
645	916	502
646	917	500
647	918	499
648	920	497
649	921	496
650	923	495
651	924	493
652	926	492
653	927	490
654	929	489
655	930	488
656	931	486
657	933	485
658	934	483
659	935	481
660	936	480
661	938	479
662	939	477
663	941	476
664	942	474
665	944	473
666	945	472
667	946	470
668	948	469
669	949	467
670	950	466
671	952	464
672	953	463
673	954	461
674	956	460
675	957	458
676	958	457
677	959	455
678	961	454
679	962	453
680	964	451
681	965	450
682	967	448
683	968	447
684	969	446
685	971	444
686	972	443
687	973	441
688	975	440
689	976	438
690	978	437
691	979	436
692	981	434
693	982	433
694	983	431
695	985	430
696	986	428
697	988	427
698	989	426
699	990	424
700	992	423
701	993	421
702	994	420
703	995	418
704	997	417
705	998	415
706	999	414
707	1001	412
708	1002	411
709	1003	410
710	1005	408
711	1006	407
712	1007	405
713	1009	404
714	1010	402
715	1011	401
716	1013	399
717	1014	398
718	1015	396
719	1017	395
720	1018	394
721	1019	392
722	1021	391
723	1022	389
724	1023	388
725	1025	386
726	1026	385
727	1027	383
728	1028	382
729	1030	381
730	1031	379
731	1032	378
732	1034	376
733	1035	375
734	1037	373
735	1038	372
736	1039	371
737	1041	369
738	1042	368
739	1043	366
740	1045	365
741	1046	363
742	1047	362
743	1048	360
744	1050	359
745	1051	358
746	1052	356
747	1054	355
748	1055	353
749	1056	352
750	1058	350
751	1059	349
752	1060	347
753	1062	346
754	1063	345
755	1064	343
756	1065	342
757	1067	340
758	1068	339
759	1069	337
760	1071	336
761	1072	334
762	1073	333
763	1074	332
764	1076	330
765	1077	329
766	1078	327
767	1079	326
768	1081	324
769	1082	323
770	1083	321
771	1084	320
772	1086	318
773	1087	317
774	1088	316
775	1090	314
776	1091	313
777	1092	311
778	1094	310
779	1095	308
780	1096	307
781	1098	306
782	1099	304
783	1100	303
784	1102	301
785	1103	300
786	1104	298
787	1105	297
788	1107	296
789	1108	294
790	1109	293
791	1111	291
792	1112	290
793	1113	288
794	1114	287
795	1116	286
796	1117	284
797	1118	283
798	1120	281
799	1121	280
800	1122	278
801	1123	277
802	1125	276
803	1126	274
804	1128	273
805	1129	271
806	1130	270
807	1132	269
808	1133	267
809	1134	266
810	1135	264
811	1137	263
812	1138	261
813	1140	260
814	1141	259
815	1142	257
816	1143	256
817	1145	254
818	1146	253
819	1147	251
820	1148	250
821	1150	249
822	1151	247
823	1152	246
824	1154	244
825	1155	243
826	1156	241
827	1157	240
828	1159	239
829	1160	237
830	1161	236
831	1163	234
832	1164	233
833	1165	231
834	1166	230
835	1168	229
836	1169	227
837	1170	226
838	1171	224
839	1173	223
840	1174	222
841	1176	220
842	1177	219
843	1178	217
844	1180	216
845	1181	215
846	1183	213
847	1184	212
848	1185	210
849	1186	209
850	1188	208
851	1189	206
852	1190	205
853	1192	203
854	1193	202
855	1194	200
856	1196	199
857	1197	198
858	1198	196
859	1199	195
860	1201	193
861	1202	192
862	1203	191
863	1204	189
864	1206	188
865	1207	186
866	1208	185
867	1210	184
868	1211	182
869	1212	181
870	1214	179
871	1215	178
872	1217	177
873	1218	175
874	1219	174
875	1221	172
876	1222	171
877	1224	170
878	1225	168
879	1226	167
880	1228	165
881	1230	164
882	1231	163
883	1232	161
884	1233	160
885	1234	158
886	1236	157
887	1237	156
888	1238	154
889	1240	153
890	1241	151
891	1242	150
892	1243	149
893	1245	147
894	1246	146
895	1247	144
896	1249	143
897	1250	142
898	1251	140
899	1253	139
900	1254	137
901	1255	136
902	1256	135
903	1258	133
904	1259	132
905	1261	130
906	1262	129
907	1263	128
908	1264	126
909	1265	125
910	1267	123
911	1268	122
912	1269	121
913	1271	119
914	1272	118
915	1273	116
916	1274	115
917	1276	113
918	1277	112
919	1278	111
920	1279	109
921	1281	108
922	1282	106
923	1283	105
924	1285	104
925	1286	102
926	1287	101
927	1288	99
928	1289	98
929	1291	97
930	1292	95
931	1293	94
932	1294	92
933	1296	91
934	1297	90
935	1298	88
936	1300	87
937	1301	86
938	1302	84
939	1303	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1310	76
945	1311	74
946	1312	73
947	1313	72
948	1314	70
949	1316	69
950	1317	67
951	1318	66
952	1319	65
953	1321	63
954	1322	62
955	1323	60
956	1324	59
957	1326	58
958	1327	56
959	1329	55
960	1330	54
961	1332	52
962	1333	51
963	1334	49
964	1336	48
965	1337	47
966	1338	45
967	1340	44
968	1341	42
969	1343	41
970	1344	40
971	1345	38
972	1346	37
973	1348	35
974	1349	34
975	1350	33
976	1352	31
977	1353	30
978	1355	29
979	1356	27
980	1357	26
981	1359	24
982	1360	23
983	1362	22
984	1363	20
985	1364	19
986	1366	17
987	1367	16
988	1369	15
989	1370	13
990	1371	12
991	1373	11
992	1374	9
993	1375	8
994	1377	6
995	1378	5
996	1379	4
997	1381	2
998	1382	1
999	1383	0
