iter	RMSE
0	0.1660829909
1	0.1613138553
2	0.1565489887
3	0.1518260982
4	0.147497258
5	0.1433275693
6	0.1394720433
7	0.1360934497
8	0.132423371
9	0.1289978324
10	0.1258675777
11	0.1230394119
12	0.1202364063
13	0.1175107586
14	0.115062023
15	0.1126141908
16	0.1102201656
17	0.1080198556
18	0.1060364548
19	0.1041267813
20	0.1022746038
21	0.100523714
22	0.0988239909
23	0.0973492411
24	0.09579025398
25	0.09442823036
26	0.09314883152
27	0.09173715239
28	0.09049676329
29	0.08937265926
30	0.08819853436
31	0.08711634343
32	0.08603898797
33	0.0850568181
34	0.0841550263
35	0.08331513644
36	0.08251097795
37	0.0816077561
38	0.08077207054
39	0.08005721172
40	0.07927516762
41	0.07857194852
42	0.07798528285
43	0.07743655341
44	0.07672599096
45	0.07610845951
46	0.07545811477
47	0.07483920863
48	0.07427316375
49	0.07371519699
50	0.07317582311
51	0.07265646747
52	0.07216712642
53	0.07170862194
54	0.07124809121
55	0.07090460613
56	0.07053591573
57	0.07013990804
58	0.06975383117
59	0.06929756321
60	0.06889046827
61	0.06853589974
62	0.06816022269
63	0.06785668871
64	0.06749897264
65	0.06718669464
66	0.06683583584
67	0.06649842303
68	0.06623630165
69	0.06595399827
70	0.06567807652
71	0.06535862125
72	0.06510388354
73	0.0648113697
74	0.06450708872
75	0.06428506375
76	0.06396893181
77	0.06375899571
78	0.06347069057
79	0.06325690661
80	0.06304803508
81	0.06278184218
82	0.06257579373
83	0.0623574617
84	0.06218449437
85	0.06191846222
86	0.06173011748
87	0.06154533419
88	0.06134989878
89	0.06116682142
90	0.06095547055
91	0.06080829598
92	0.06056652778
93	0.06038530058
94	0.06021734292
95	0.06007746923
96	0.05987847464
97	0.05960841718
98	0.05948014408
99	0.05930984604
100	0.05917869508
101	0.05899861092
102	0.0588287908
103	0.05867583999
104	0.05851867404
105	0.05836897671
106	0.058221699
107	0.05806558041
108	0.05792672354
109	0.05783108895
110	0.05768927854
111	0.05754592117
112	0.05741062908
113	0.05727428972
114	0.05714068971
115	0.05702489916
116	0.056908005
117	0.05681373863
118	0.05662752139
119	0.05652181551
120	0.056410626
121	0.0562287936
122	0.05609860323
123	0.05597838161
124	0.05587524599
125	0.05577718451
126	0.05569620418
127	0.05553911907
128	0.05534994495
129	0.05523853097
130	0.05513762282
131	0.05504397798
132	0.05493596858
133	0.05482471536
134	0.05472940467
135	0.05457935672
136	0.05446366186
137	0.05439087869
138	0.05430274691
139	0.05420513264
140	0.05409939501
141	0.0540259481
142	0.05394139971
143	0.05387183197
144	0.0538322235
145	0.05377243979
146	0.05368962936
147	0.05359837685
148	0.0535075859
149	0.05342788085
150	0.05332590581
151	0.05320903614
152	0.0530815609
153	0.0530099896
154	0.05292160713
155	0.05287432956
156	0.05282574097
157	0.05268429652
158	0.05262312824
